#city,county,state,lat,lon
Acampo,San Joaquin,California,38.200413,-121.218576
Acton,Los Angeles,California,34.483541,-118.195929
Adelanto,San Bernardino,California,34.584128,-117.424189
Adin,Modoc,California,41.21751,-120.943193
Agoura Hills,Los Angeles,California,34.157163,-118.75718
Aguanga,Riverside,California,33.447306,-116.799693
Ahwahnee,Madera,California,37.407631,-119.723251
Alameda,Alameda,California,37.764783,-122.260516
Alamo,Contra Costa,California,37.853695,-122.022868
Albany,Alameda,California,37.890045,-122.295394
Albion,Mendocino,California,39.215934,-123.721366
Alderpoint,Humboldt,California,40.176389,-123.610556
Alhambra,Los Angeles,California,34.091436,-118.129288
Aliso Viejo,Orange,California,33.572367,-117.708906
Alleghany,Sierra,California,39.512698,-120.727176
Alpaugh,Tulare,California,35.887778,-119.486389
Alpine,San Diego,California,32.828161,-116.754328
Alta,Placer,California,39.228032,-120.773165
Altadena,Los Angeles,California,34.191187,-118.13919
Altaville,Calaveras,California,38.076944,-120.552222
Alturas,Modoc,California,41.476742,-120.545584
Alviso,Santa Clara,California,37.427659,-121.968597
Amador City,Amador,California,38.419444,-120.823056
Amboy,San Bernardino,California,34.599012,-115.774907
American Canyon,Napa,California,38.175,-122.259722
Anaheim,Orange,California,33.842679,-117.954035
Anderson,Shasta,California,40.457432,-122.328218
Angels Camp,Calaveras,California,38.064011,-120.55437
Angelus Oaks,San Bernardino,California,34.153149,-116.948482
Angwin,Napa,California,38.576906,-122.447732
Annapolis,Sonoma,California,38.714485,-123.314214
Antelope,Sacramento,California,38.708333,-121.328889
Antioch,Contra Costa,California,37.993917,-121.808906
Anza,Riverside,California,33.568812,-116.71355
Apple Valley,San Bernardino,California,34.529081,-117.2132
Applegate,Placer,California,38.995487,-120.990511
Aptos,Santa Cruz,California,36.977222,-121.898333
Arbuckle,Colusa,California,39.013787,-122.027405
Arcadia,Los Angeles,California,34.132389,-118.026374
Arcata,Humboldt,California,40.866667,-124.081667
Armona,Kings,California,36.309459,-119.705279
Arnold,Calaveras,California,38.24175,-120.342231
Aromas,Monterey,California,36.878522,-121.639781
Arroyo Grande,San Luis Obispo,California,35.11449,-120.57289
Artesia,Los Angeles,California,33.866568,-118.068046
Artois,Glenn,California,39.619722,-122.192778
Arvin,Kern,California,35.196629,-118.8336
Atascadero,San Luis Obispo,California,35.475439,-120.663838
Atherton,San Mateo,California,37.456255,-122.200198
Atwater,Merced,California,37.353154,-120.600837
Atwood,Orange,California,33.865556,-117.83
Auberry,Fresno,California,37.072635,-119.457202
Auburn,Placer,California,38.9828,-121.0938
Avalon,Los Angeles,California,33.331963,-118.343706
Avenal,Kings,California,35.987667,-120.122716
Avery,Calaveras,California,38.204444,-120.368889
Avila Beach,San Luis Obispo,California,35.18,-120.730833
Azusa,Los Angeles,California,34.12476,-117.903083
Badger,Tulare,California,36.631389,-119.012222
Baker,San Bernardino,California,35.360573,-116.063754
Bakersfield,Kern,California,35.386611,-119.017063
Baldwin Park,Los Angeles,California,34.084245,-117.969539
Ballico,Merced,California,37.452455,-120.700152
Bangor,Butte,California,39.424862,-121.350499
Banning,Riverside,California,33.92816,-116.889928
Bard,Imperial,California,32.789167,-114.555278
Barstow,San Bernardino,California,34.89145,-117.038702
Bass Lake,Madera,California,37.324359,-119.556839
Bayside,Humboldt,California,40.822381,-124.027305
Beale Afb,Yuba,California,39.145833,-121.590278
Beaumont,Riverside,California,33.950429,-116.970079
Beckwourth,Plumas,California,39.820278,-120.377778
Belden,Plumas,California,39.921746,-121.325924
Bell,Los Angeles,California,33.969177,-118.17205
Bell Gardens,Los Angeles,California,33.9775,-118.186111
Bella Vista,Shasta,California,40.740945,-122.07245
Bellflower,Los Angeles,California,33.886676,-118.126527
Belmont,San Mateo,California,37.517433,-122.292671
Belvedere Tiburon,Marin,California,37.889885,-122.472627
Ben Lomond,Santa Cruz,California,37.086183,-122.083869
Benicia,Solano,California,38.068459,-122.161392
Benton,Mono,California,37.798099,-118.498526
Berkeley,Alameda,California,37.8691,-122.2696
Berry Creek,Butte,California,39.638394,-121.385467
Bethel Island,Contra Costa,California,38.015,-121.639444
Beverly Hills,Los Angeles,California,34.0732,-118.3927
Bieber,Lassen,California,41.121389,-121.143056
Big Bar,Trinity,California,40.74796,-123.229006
Big Bear City,San Bernardino,California,34.242233,-116.920412
Big Bear Lake,San Bernardino,California,34.243889,-116.910556
Big Bend,Shasta,California,41.020833,-121.91
Big Creek,Fresno,California,37.205,-119.245
Big Oak Flat,Tuolumne,California,37.823611,-120.257222
Big Pine,Inyo,California,37.167857,-118.291597
Big Sur,Monterey,California,36.245798,-121.700897
Biggs,Butte,California,39.414918,-121.695873
Biola,Fresno,California,36.802222,-120.015278
Birds Landing,Solano,California,38.150402,-121.844318
Bishop,Inyo,California,37.386301,-118.44156
Blairsden-graeagle,Plumas,California,39.784745,-120.627397
Blocksburg,Humboldt,California,40.276111,-123.635278
Bloomington,San Bernardino,California,34.066198,-117.399295
Blue Jay,San Bernardino,California,34.246111,-117.208889
Blue Lake,Humboldt,California,40.928701,-123.896696
Blythe,Riverside,California,33.605715,-114.597131
Bodega,Sonoma,California,38.339264,-122.951364
Bodega Bay,Sonoma,California,38.330921,-123.037308
Bodfish,Kern,California,35.587046,-118.484656
Bolinas,Marin,California,37.907875,-122.694655
Bonita,San Diego,California,32.667143,-117.022065
Bonsall,San Diego,California,33.294033,-117.18969
Boonville,Mendocino,California,39.035007,-123.401954
Boron,Kern,California,35.003748,-117.662921
Borrego Springs,San Diego,California,33.238649,-116.351394
Boulder Creek,Santa Cruz,California,37.149934,-122.133053
Boulevard,San Diego,California,32.671934,-116.319982
Boyes Hot Springs,Sonoma,California,38.313889,-122.480833
Bradley,Monterey,California,35.809255,-120.972793
Brandeis,Ventura,California,34.3216,-118.7027
Branscomb,Mendocino,California,39.700531,-123.554982
Brawley,Imperial,California,32.979181,-115.529613
Brea,Orange,California,33.9252,-117.8895
Brentwood,Contra Costa,California,37.932415,-121.689427
Bridgeport,Mono,California,38.256601,-119.208025
Bridgeville,Humboldt,California,40.468566,-123.549351
Brisbane,San Mateo,California,37.681104,-122.400118
Brookdale,Santa Cruz,California,37.106389,-122.105
Brooks,Yolo,California,38.739277,-122.133391
Browns Valley,Yuba,California,39.284428,-121.346482
Brownsville,Yuba,California,39.452534,-121.261179
Bryn Mawr,San Bernardino,California,34.048333,-117.23
Buellton,Santa Barbara,California,34.62093,-120.192233
Buena Park,Orange,California,33.840607,-118.011359
Burbank,Los Angeles,California,34.186238,-118.300898
Burlingame,San Mateo,California,37.575884,-122.362952
Burney,Shasta,California,40.894927,-121.655036
Burnt Ranch,Trinity,California,40.772238,-123.461248
Burrel,Fresno,California,36.488333,-119.984167
Burson,Calaveras,California,38.183889,-120.889444
Butte City,Glenn,California,39.456348,-121.978046
Buttonwillow,Kern,California,35.403268,-119.465926
Byron,Contra Costa,California,37.902616,-121.602211
Cabazon,Riverside,California,33.908583,-116.773948
Calabasas,Los Angeles,California,34.141854,-118.664103
Calexico,Imperial,California,32.683227,-115.502815
Caliente,Kern,California,35.356798,-118.410264
California City,Kern,California,35.125833,-117.985
California Hot Springs,Tulare,California,35.892422,-118.646317
Calimesa,Riverside,California,33.994586,-117.04304
Calipatria,Imperial,California,33.166956,-115.511402
Calistoga,Napa,California,38.582305,-122.581384
Callahan,Siskiyou,California,41.383257,-122.764046
